"from","to","r","t","p.value","FDR","Type"
"CRO-01G006740","CRO-01G006750",0.9884368695120515,23.503199978378568,2.456313231277192e-12,2.647274813344621e-9,"co-expressed"
"CRO-01G006740","CRO-01G010020",0.9570956800098996,11.908868273635713,1.1448655763964815e-8,2.809698742727535e-6,"co-expressed"
"CRO-01G006750","CRO-01G010020",0.9540353615934947,11.47778314184208,1.778395405695179e-8,4.057263278486542e-6,"co-expressed"
"CRO-01G006750","CRO-01G013280",0.8654899936305783,6.229597232307697,1.535049467894972e-5,0.0011044254348381499,"co-expressed"
"CRO-01G010020","CRO-01G013280",0.9156727886687878,8.214241178003968,8.361840783694272e-7,1.0184032046092884e-4,"co-expressed"
"CRO-01G010020","CRO-01G020080",0.8035973652080812,4.868181138360404,1.535109896086899e-4,0.006525849232611246,"co-expressed"
"CRO-01G006740","CRO-01G027010",0.9933341853495188,31.07065321916647,6.925115151590251e-14,1.5570894486035423e-10,"co-expressed"
"CRO-01G006750","CRO-01G027010",0.9962266030630236,41.3864947572293,1.7264033309977412e-15,8.515598009312871e-12,"co-expressed"
"CRO-01G010020","CRO-01G027010",0.9600253119351797,12.366049431877894,7.280882112812949e-9,1.918412006354422e-6,"co-expressed"
"CRO-01G013280","CRO-01G027010",0.8774303000272077,6.594939730155744,8.644265548322627e-6,6.966860500417324e-4,"co-expressed"
"CRO-01G006750","CRO-01G030490",0.9921320031098606,28.572614978912476,2.028851215634308e-13,3.69505554393965e-10,"co-expressed"
"CRO-01G010020","CRO-01G030490",0.9436512406385358,10.280916742760093,6.517043049428296e-8,1.2020549492743936e-5,"co-expressed"
"CRO-01G027010","CRO-01G030490",0.9865858660659438,21.79071977638507,6.419853872272031e-12,5.743453363243681e-9,"co-expressed"
"CRO-01G006750","CRO-01G030540",0.9985103674668799,65.98291190388397,4.12821075028952e-18,9.103311794204611e-14,"co-expressed"
"CRO-01G010020","CRO-01G030540",0.9600746263314133,12.374164069003992,7.2235595080164605e-9,1.9056522664093391e-6,"co-expressed"
