"feature","z","cell_type","cell"
"feature 6",-0.5740092168195461,"cell type 3","C1_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C1_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C1_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C1_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C1_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C1_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C1_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C1_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C1_p1d1"
"feature 6",1.9269630457654796,"cell type 1","C10_p1d1"
"feature 5",-0.3757091192007224,"cell type 1","C10_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C10_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C10_p1d1"
"feature 9",-0.3576554952433767,"cell type 1","C10_p1d1"
"feature 14",-0.37555569778799514,"cell type 1","C10_p1d1"
"feature 8",1.5237095396526104,"cell type 1","C10_p1d1"
"feature 11",-0.3570586999731203,"cell type 1","C10_p1d1"
"feature 1",1.433058365651432,"cell type 1","C10_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C11_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C11_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C11_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C11_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C11_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C11_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C11_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C11_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C11_p1d1"
"feature 6",1.6807191988071912,"cell type 1","C12_p1d1"
"feature 5",-0.3757091192007224,"cell type 1","C12_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C12_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C12_p1d1"
"feature 9",-0.3576554952433767,"cell type 1","C12_p1d1"
"feature 14",-0.37555569778799514,"cell type 1","C12_p1d1"
"feature 8",1.5486457584100177,"cell type 1","C12_p1d1"
"feature 11",-0.3570586999731203,"cell type 1","C12_p1d1"
"feature 1",1.4727371178694197,"cell type 1","C12_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C13_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C13_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C13_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C13_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C13_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C13_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C13_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C13_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C13_p1d1"
"feature 6",1.8158657402046652,"cell type 1","C14_p1d1"
"feature 5",-0.3757091192007224,"cell type 1","C14_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C14_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C14_p1d1"
"feature 9",-0.3576554952433767,"cell type 1","C14_p1d1"
"feature 14",-0.37555569778799514,"cell type 1","C14_p1d1"
"feature 8",1.4771826599034796,"cell type 1","C14_p1d1"
"feature 11",-0.3570586999731203,"cell type 1","C14_p1d1"
"feature 1",1.4121674923408027,"cell type 1","C14_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C15_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C15_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C15_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C15_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C15_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C15_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C15_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C15_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C15_p1d1"
"feature 6",-0.5740092168195461,"cell type 1","C16_p1d1"
"feature 5",-0.3757091192007224,"cell type 1","C16_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C16_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C16_p1d1"
"feature 9",-0.3576554952433767,"cell type 1","C16_p1d1"
"feature 14",-0.37555569778799514,"cell type 1","C16_p1d1"
"feature 8",1.3736099967178539,"cell type 1","C16_p1d1"
"feature 11",-0.3570586999731203,"cell type 1","C16_p1d1"
"feature 1",1.3152571945655267,"cell type 1","C16_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C17_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C17_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C17_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C17_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C17_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C17_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C17_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C17_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C17_p1d1"
"feature 6",1.6813703451726947,"cell type 1","C18_p1d1"
"feature 5",-0.3757091192007224,"cell type 1","C18_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C18_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C18_p1d1"
"feature 9",-0.3576554952433767,"cell type 1","C18_p1d1"
"feature 14",-0.37555569778799514,"cell type 1","C18_p1d1"
"feature 8",1.372504058416894,"cell type 1","C18_p1d1"
"feature 11",-0.3570586999731203,"cell type 1","C18_p1d1"
"feature 1",1.3226986936019085,"cell type 1","C18_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C19_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C19_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C19_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C19_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C19_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C19_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C19_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C19_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C19_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C2_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C2_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C2_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C2_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C2_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C2_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C2_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C2_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C2_p1d1"
"feature 6",-0.5740092168195461,"cell type 1","C20_p1d1"
"feature 5",-0.3757091192007224,"cell type 1","C20_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C20_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C20_p1d1"
